src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
17.188.23.25,10.193.107.99,443,57515,1290,7.700920104980469e-05,1042.4,162509,0
17.188.23.25,10.193.107.99,443,57515,1290,6.914138793945312e-05,1042.4,163747,0
17.188.23.25,10.193.107.99,443,57515,1290,4.982948303222656e-05,1166.2,164985,0
17.188.23.25,10.193.107.99,443,57515,1290,5.412101745605469e-05,1290.0,166223,0
17.188.23.25,10.193.107.99,443,57515,1290,5.3882598876953125e-05,1290.0,167461,0
17.188.23.25,10.193.107.99,443,57515,1290,4.9114227294921875e-05,1290.0,168699,0
17.188.23.25,10.193.107.99,443,57515,1290,5.3882598876953125e-05,1290.0,169937,0
17.188.23.25,10.193.107.99,443,57515,1290,5.1021575927734375e-05,1290.0,171175,0
17.188.23.25,10.193.107.99,443,57515,1290,4.8160552978515625e-05,1290.0,172413,0
17.188.23.25,10.193.107.99,443,57515,1290,5.3882598876953125e-05,1290.0,173651,0
17.188.23.25,10.193.107.99,443,57515,1290,5.412101745605469e-05,1290.0,174889,0
17.188.23.25,10.193.107.99,443,57515,1290,4.982948303222656e-05,1290.0,176127,0
10.193.107.99,17.188.23.25,57515,443,52,2.4080276489257812e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,2.7894973754882812e-05,1042.4,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,4.8160552978515625e-05,1042.4,177365,0
17.188.23.25,10.193.107.99,443,57515,1290,5.4836273193359375e-05,1042.4,178603,0
17.188.23.25,10.193.107.99,443,57515,1290,9.799003601074219e-05,1042.4,179841,0
17.188.23.25,10.193.107.99,443,57515,1290,5.507469177246094e-05,1042.4,181079,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00041794776916503906,1042.4,182317,0
17.188.23.25,10.193.107.99,443,57515,1290,5.1021575927734375e-05,1042.4,183555,0
17.188.23.25,10.193.107.99,443,57515,1290,5.602836608886719e-05,1042.4,184793,0
17.188.23.25,10.193.107.99,443,57515,1290,5.507469177246094e-05,1042.4,186031,0
17.188.23.25,10.193.107.99,443,57515,1290,4.887580871582031e-05,1166.2,187269,0
17.188.23.25,10.193.107.99,443,57515,1290,5.507469177246094e-05,1290.0,188507,0
10.193.107.99,17.188.23.25,57515,443,52,2.4080276489257812e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,2.288818359375e-05,1042.4,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,4.792213439941406e-05,1042.4,189745,0
17.188.23.25,10.193.107.99,443,57515,1290,4.8160552978515625e-05,1042.4,190983,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00014901161193847656,1042.4,192221,0
17.188.23.25,10.193.107.99,443,57515,1290,4.982948303222656e-05,1042.4,193459,0
17.188.23.25,10.193.107.99,443,57515,1290,4.9114227294921875e-05,1042.4,194697,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001819133758544922,1042.4,195935,0
17.188.23.25,10.193.107.99,443,57515,1290,5.0067901611328125e-05,1042.4,197173,0
17.188.23.25,10.193.107.99,443,57515,1290,5.0067901611328125e-05,1042.4,198411,0
